,fng_value,fng_classification,date
267,07-07-2020,43,Fear
268,07-06-2020,40,Fear
269,07-05-2020,38,Fear
270,07-04-2020,40,Fear
271,07-03-2020,41,Fear
272,07-02-2020,42,Fear
273,07-01-2020,42,Fear
274,06-30-2020,44,Fear
275,06-29-2020,41,Fear
276,06-28-2020,40,Fear
277,06-27-2020,43,Fear
278,06-26-2020,40,Fear
279,06-25-2020,43,Fear
280,06-24-2020,50,Neutral
281,06-23-2020,41,Fear
282,06-22-2020,38,Fear
283,06-21-2020,37,Fear
284,06-20-2020,38,Fear
285,06-19-2020,39,Fear
286,06-18-2020,40,Fear
287,06-17-2020,38,Fear
288,06-16-2020,39,Fear
289,06-15-2020,37,Fear
290,06-14-2020,40,Fear
291,06-13-2020,38,Fear
292,06-12-2020,38,Fear
293,06-11-2020,52,Neutral
294,06-10-2020,54,Neutral
295,06-09-2020,52,Neutral
296,06-08-2020,53,Neutral
297,06-07-2020,54,Neutral
298,06-06-2020,54,Neutral
299,06-05-2020,53,Neutral
300,06-04-2020,54,Neutral
301,06-03-2020,48,Neutral
302,06-02-2020,56,Greed
303,06-01-2020,50,Neutral
304,05-31-2020,51,Neutral
305,05-30-2020,48,Neutral
306,05-29-2020,48,Neutral
307,05-28-2020,41,Fear
308,05-27-2020,39,Fear
309,05-26-2020,39,Fear
310,05-25-2020,41,Fear
311,05-24-2020,43,Fear
312,05-23-2020,40,Fear
313,05-22-2020,42,Fear
314,05-21-2020,49,Neutral
315,05-20-2020,52,Neutral
316,05-19-2020,50,Neutral
317,05-18-2020,50,Neutral
318,05-17-2020,40,Fear
319,05-16-2020,41,Fear
320,05-15-2020,44,Fear
321,05-14-2020,40,Fear
322,05-13-2020,41,Fear
323,05-12-2020,39,Fear
324,05-11-2020,40,Fear
325,05-10-2020,48,Neutral
326,05-09-2020,56,Greed
327,05-08-2020,55,Greed
328,05-07-2020,49,Neutral
329,05-06-2020,42,Fear
330,05-05-2020,40,Fear
331,05-04-2020,44,Fear
332,05-03-2020,45,Fear
333,05-02-2020,40,Fear
334,05-01-2020,40,Fear
335,04-30-2020,44,Fear
336,04-29-2020,26,Fear
337,04-28-2020,26,Fear
338,04-27-2020,28,Fear
339,04-26-2020,21,Extreme Fear
340,04-25-2020,24,Extreme Fear
341,04-24-2020,20,Extreme Fear
342,04-23-2020,19,Extreme Fear
343,04-22-2020,19,Extreme Fear
344,04-21-2020,17,Extreme Fear
345,04-20-2020,15,Extreme Fear
346,04-19-2020,16,Extreme Fear
347,04-18-2020,18,Extreme Fear
348,04-17-2020,15,Extreme Fear
349,04-16-2020,13,Extreme Fear
350,04-15-2020,18,Extreme Fear
351,04-14-2020,15,Extreme Fear
352,04-13-2020,11,Extreme Fear
353,04-12-2020,10,Extreme Fear
354,04-11-2020,15,Extreme Fear
355,04-10-2020,15,Extreme Fear
356,04-09-2020,22,Extreme Fear
357,04-08-2020,21,Extreme Fear
358,04-07-2020,20,Extreme Fear
359,04-06-2020,12,Extreme Fear
360,04-05-2020,12,Extreme Fear
361,04-04-2020,12,Extreme Fear
362,04-03-2020,14,Extreme Fear
363,04-02-2020,14,Extreme Fear
364,04-01-2020,12,Extreme Fear
365,03-31-2020,12,Extreme Fear
366,03-30-2020,10,Extreme Fear
367,03-29-2020,12,Extreme Fear
368,03-28-2020,8,Extreme Fear
369,03-27-2020,12,Extreme Fear
370,03-26-2020,14,Extreme Fear
371,03-25-2020,13,Extreme Fear
372,03-24-2020,12,Extreme Fear
373,03-23-2020,10,Extreme Fear
374,03-22-2020,11,Extreme Fear
375,03-21-2020,9,Extreme Fear
376,03-20-2020,9,Extreme Fear
377,03-19-2020,12,Extreme Fear
378,03-18-2020,11,Extreme Fear
379,03-17-2020,8,Extreme Fear
380,03-16-2020,9,Extreme Fear
381,03-15-2020,12,Extreme Fear
382,03-14-2020,8,Extreme Fear
383,03-13-2020,10,Extreme Fear
384,03-12-2020,14,Extreme Fear
385,03-11-2020,17,Extreme Fear
386,03-10-2020,16,Extreme Fear
387,03-09-2020,17,Extreme Fear
388,03-08-2020,33,Fear
389,03-07-2020,38,Fear
390,03-06-2020,39,Fear
391,03-05-2020,41,Fear
392,03-04-2020,40,Fear
393,03-03-2020,38,Fear
394,03-02-2020,38,Fear
395,03-01-2020,39,Fear
396,02-29-2020,38,Fear
397,02-28-2020,40,Fear
398,02-27-2020,39,Fear
399,02-26-2020,41,Fear
400,02-25-2020,44,Fear
401,02-24-2020,46,Fear
402,02-23-2020,46,Fear
403,02-22-2020,43,Fear
404,02-21-2020,44,Fear
405,02-20-2020,44,Fear
406,02-19-2020,50,Neutral
407,02-18-2020,53,Neutral
408,02-17-2020,49,Neutral
409,02-16-2020,59,Greed
410,02-15-2020,64,Greed
411,02-14-2020,63,Greed
412,02-13-2020,65,Greed
413,02-12-2020,61,Greed
414,02-11-2020,52,Neutral
415,02-10-2020,57,Greed
416,02-09-2020,56,Greed
417,02-08-2020,56,Greed
418,02-07-2020,56,Greed
419,02-06-2020,61,Greed
420,02-05-2020,53,Neutral
421,02-04-2020,56,Greed
422,02-03-2020,59,Greed
423,02-02-2020,57,Greed
424,02-01-2020,57,Greed
425,01-31-2020,55,Greed
426,01-30-2020,57,Greed
427,01-29-2020,57,Greed
428,01-28-2020,54,Neutral
429,01-27-2020,50,Neutral
430,01-26-2020,42,Fear
431,01-25-2020,41,Fear
432,01-24-2020,40,Fear
433,01-23-2020,49,Neutral
434,01-22-2020,52,Neutral
435,01-21-2020,49,Neutral
436,01-20-2020,48,Neutral
437,01-19-2020,53,Neutral
438,01-18-2020,51,Neutral
439,01-17-2020,54,Neutral
440,01-16-2020,55,Greed
